station_order,global_order,timestamp,route_info,date
19,28,43692.0,1/00720,1
20,28,43996.0,1/00720,1
21,28,44061.0,1/00720,1
22,28,44166.0,1/00720,1
23,28,44315.0,1/00720,1
24,28,44450.0,1/00720,1
25,28,44517.0,1/00720,1
26,28,44701.0,1/00720,1
27,28,44777.0,1/00720,1
28,28,44855.0,1/00720,1
29,28,45025.0,1/00720,1
1,29,41375.0,1/00720,1
2,29,41534.0,1/00720,1
3,29,41700.0,1/00720,1
4,29,41821.0,1/00720,1
5,29,42104.0,1/00720,1
6,29,42209.0,1/00720,1
7,29,42412.0,1/00720,1
8,29,42538.0,1/00720,1
9,29,42664.0,1/00720,1
10,29,42855.0,1/00720,1
11,29,42994.0,1/00720,1
12,29,43134.0,1/00720,1
13,29,43216.0,1/00720,1
14,29,43456.0,1/00720,1
15,29,43711.0,1/00720,1
16,29,43826.0,1/00720,1
17,29,43959.0,1/00720,1
18,29,44066.0,1/00720,1
19,29,44188.0,1/00720,1
20,29,44459.0,1/00720,1
21,29,44577.0,1/00720,1
22,29,44716.0,1/00720,1
23,29,44868.0,1/00720,1
24,29,45066.0,1/00720,1
25,29,45140.0,1/00720,1
26,29,45329.0,1/00720,1
27,29,45437.0,1/00720,1
28,29,45502.0,1/00720,1
29,29,45610.0,1/00720,1
1,30,42192.0,1/00720,1
2,30,42380.0,1/00720,1
3,30,42642.0,1/00720,1
4,30,42747.0,1/00720,1
5,30,42966.0,1/00720,1
6,30,43139.0,1/00720,1
7,30,43273.0,1/00720,1
8,30,43350.0,1/00720,1
9,30,43642.0,1/00720,1
10,30,43868.0,1/00720,1
11,30,43990.0,1/00720,1
12,30,44135.0,1/00720,1
13,30,44226.0,1/00720,1
14,30,44516.0,1/00720,1
15,30,44767.0,1/00720,1
16,30,44894.0,1/00720,1
17,30,45021.0,1/00720,1
18,30,45164.0,1/00720,1
19,30,45280.0,1/00720,1
20,30,45598.0,1/00720,1
21,30,45672.0,1/00720,1
22,30,45819.0,1/00720,1
23,30,45965.0,1/00720,1
24,30,46153.0,1/00720,1
25,30,46225.0,1/00720,1
26,30,46307.0,1/00720,1
27,30,46390.0,1/00720,1
28,30,46460.0,1/00720,1
